Date,Predictions,Correct,Percent
2024-01-03,1,1,100.00%
2024-01-04,1,1,100.00%
2024-01-05,2,1,50.00%
2024-01-06,1,1,100.00%
2024-01-07,2,2,100.00%
2024-01-10,1,1,100.00%
2024-01-12,1,0,0.00%
2024-01-13,7,4,57.14%
2024-01-14,8,6,75.00%
2024-01-15,2,2,100.00%
2024-01-16,1,1,100.00%
2024-01-18,1,1,100.00%
2024-01-19,1,1,100.00%
2024-01-20,5,2,40.00%
2024-01-21,3,2,66.67%
2024-01-22,1,0,0.00%
2024-01-23,4,1,25.00%
2024-01-24,1,0,0.00%
2024-01-25,2,2,100.00%
2024-01-27,9,6,66.67%
2024-01-28,7,5,71.43%
2024-01-29,1,1,100.00%
2024-01-30,2,2,100.00%
2024-01-31,4,4,100.00%
2024-02-01,2,2,100.00%
2024-02-02,1,1,100.00%
2024-02-03,5,4,80.00%
2024-02-04,5,3,60.00%
2024-02-05,2,2,100.00%
2024-02-06,2,1,50.00%
2024-02-08,2,2,100.00%
2024-02-09,3,1,33.33%
2024-02-10,8,5,62.50%
2024-02-11,6,4,66.67%
2024-02-12,2,2,100.00%
2024-02-13,2,2,100.00%
2024-02-14,5,3,60.00%
2024-02-15,1,0,0.00%
2024-02-16,6,4,66.67%
2024-02-17,15,8,53.33%
2024-02-18,10,7,70.00%
2024-02-19,2,1,50.00%
2024-02-20,3,3,100.00%
2024-02-22,2,1,50.00%
2024-02-23,6,5,83.33%
2024-02-24,5,3,60.00%
2024-02-25,6,5,83.33%
2024-02-26,4,3,75.00%
2024-02-28,4,3,75.00%
2024-02-29,1,1,100.00%
2024-03-01,5,4,80.00%
2024-03-02,10,6,60.00%
2024-03-03,15,10,66.67%
2024-03-04,1,0,0.00%
2024-03-05,2,1,50.00%
2024-03-07,2,2,100.00%
2024-03-08,8,6,75.00%
2024-03-09,15,9,60.00%
2024-03-10,14,10,71.43%
2024-03-11,1,1,100.00%
2024-03-12,1,1,100.00%
2024-03-13,1,1,100.00%
2024-03-14,1,1,100.00%
2024-03-15,3,2,66.67%
2024-03-16,17,15,88.24%
2024-03-17,10,7,70.00%
2024-03-18,1,1,100.00%
2024-03-20,1,0,0.00%
2024-03-22,2,0,0.00%
2024-03-23,2,2,100.00%
2024-03-24,1,1,100.00%
2024-03-28,1,1,100.00%
2024-03-29,3,2,66.67%
2024-03-30,11,8,72.73%
2024-03-31,7,5,71.43%
2024-04-01,8,6,75.00%
2024-04-02,3,2,66.67%
2024-04-03,3,3,100.00%
2024-04-04,6,5,83.33%
2024-04-05,7,6,85.71%
2024-04-06,18,14,77.78%
2024-04-07,11,7,63.64%
2024-04-08,4,3,75.00%
2024-04-09,1,1,100.00%
2024-04-11,1,1,100.00%
2024-04-12,3,2,66.67%
2024-04-13,19,12,63.16%
2024-04-14,14,10,71.43%
2024-04-15,4,3,75.00%
2024-04-16,2,1,50.00%
2024-04-17,1,0,0.00%
2024-04-18,3,3,100.00%
2024-04-19,9,4,44.44%
2024-04-20,12,5,41.67%
2024-04-21,12,8,66.67%
2024-04-22,3,2,66.67%
2024-04-23,1,0,0.00%
2024-04-24,2,2,100.00%
2024-04-25,1,1,100.00%
2024-04-26,5,3,60.00%
2024-04-27,21,17,80.95%
2024-04-28,17,13,76.47%
2024-04-29,3,1,33.33%
2024-04-30,5,5,100.00%
2024-05-01,1,1,100.00%
2024-05-02,2,1,50.00%
2024-05-03,7,3,42.86%
2024-05-04,14,12,85.71%
2024-05-05,12,11,91.67%
2024-05-06,5,3,60.00%
2024-05-07,2,2,100.00%
2024-05-08,1,1,100.00%
2024-05-09,4,3,75.00%
2024-05-10,4,3,75.00%
2024-05-11,14,14,100.00%
2024-05-12,15,12,80.00%
2024-05-13,3,3,100.00%
2024-05-14,2,1,50.00%
2024-05-15,4,4,100.00%
2024-05-16,5,3,60.00%
2024-05-17,5,2,40.00%
2024-05-18,15,14,93.33%
2024-05-19,19,15,78.95%
2024-05-20,6,6,100.00%
2024-05-21,5,3,60.00%
2024-05-22,3,2,66.67%
2024-05-23,7,4,57.14%
2024-05-24,8,5,62.50%
2024-05-25,18,16,88.89%
2024-05-26,18,11,61.11%
2024-05-27,1,1,100.00%
2024-05-28,3,3,100.00%
2024-05-29,1,1,100.00%
2024-05-30,1,1,100.00%
2024-05-31,4,2,50.00%
2024-06-01,4,2,50.00%
2024-06-02,9,8,88.89%
2024-06-03,2,2,100.00%
2024-06-05,1,0,0.00%
2024-06-07,3,2,66.67%
2024-06-08,4,4,100.00%
2024-06-09,4,0,0.00%
2024-06-10,1,1,100.00%
2024-06-11,1,1,100.00%
2024-06-12,3,3,100.00%
2024-06-13,1,1,100.00%
2024-06-14,5,5,100.00%
2024-06-15,9,7,77.78%
2024-06-16,8,8,100.00%
2024-06-18,1,1,100.00%
2024-06-20,1,0,0.00%
2024-06-22,2,0,0.00%
2024-06-23,5,4,80.00%
2024-06-26,1,1,100.00%
2024-06-27,3,3,100.00%
2024-06-28,4,3,75.00%
2024-06-29,3,3,100.00%
2024-06-30,3,3,100.00%
2024-07-03,1,0,0.00%
2024-07-04,2,2,100.00%
2024-07-05,1,1,100.00%
2024-07-06,3,3,100.00%
2024-07-07,4,3,75.00%
2024-07-12,3,2,66.67%
2024-07-13,4,1,25.00%
2024-07-18,1,1,100.00%
2024-07-20,6,6,100.00%
2024-07-21,6,4,66.67%
2024-07-24,2,0,0.00%
2024-07-25,2,1,50.00%
2024-07-26,3,2,66.67%
2024-07-27,10,8,80.00%
2024-07-28,8,5,62.50%
2024-07-29,1,1,100.00%
2024-07-30,2,2,100.00%
2024-07-31,3,3,100.00%
2024-08-03,6,4,66.67%
TOTAL,867,633,73.01%
